,DATE,Year,Month,Day,Income
511,1960-12-16,1960,12,16,426.70000000000005
512,1960-12-19,1960,12,19,426.89090909090913
513,1960-12-20,1960,12,20,427.0818181818182
514,1960-12-21,1960,12,21,427.2727272727273
515,1960-12-22,1960,12,22,427.4636363636364
516,1960-12-23,1960,12,23,427.6545454545455
517,1960-12-26,1960,12,26,427.8454545454546
518,1960-12-27,1960,12,27,428.03636363636366
519,1960-12-28,1960,12,28,428.22727272727275
520,1960-12-29,1960,12,29,428.41818181818184
521,1960-12-30,1960,12,30,428.6090909090909
522,1961-01-02,1961,1,2,428.8
523,1961-01-03,1961,1,3,428.8954545454545
524,1961-01-04,1961,1,4,428.9909090909091
525,1961-01-05,1961,1,5,429.08636363636367
526,1961-01-06,1961,1,6,429.1818181818182
527,1961-01-09,1961,1,9,429.2772727272727
528,1961-01-10,1961,1,10,429.3727272727273
529,1961-01-11,1961,1,11,429.46818181818185
530,1961-01-12,1961,1,12,429.56363636363636
531,1961-01-13,1961,1,13,429.6590909090909
532,1961-01-16,1961,1,16,429.75454545454545
533,1961-01-17,1961,1,17,429.85
534,1961-01-18,1961,1,18,429.94545454545454
535,1961-01-19,1961,1,19,430.04090909090905
536,1961-01-20,1961,1,20,430.1363636363636
537,1961-01-23,1961,1,23,430.2318181818182
538,1961-01-24,1961,1,24,430.3272727272727
539,1961-01-25,1961,1,25,430.42272727272723
540,1961-01-26,1961,1,26,430.5181818181818
541,1961-01-27,1961,1,27,430.6136363636364
542,1961-01-30,1961,1,30,430.7090909090909
543,1961-01-31,1961,1,31,430.8045454545454
544,1961-02-01,1961,2,1,430.9
545,1961-02-02,1961,2,2,430.96999999999997
546,1961-02-03,1961,2,3,431.03999999999996
547,1961-02-06,1961,2,6,431.10999999999996
548,1961-02-07,1961,2,7,431.18
549,1961-02-08,1961,2,8,431.25
550,1961-02-09,1961,2,9,431.32
551,1961-02-10,1961,2,10,431.39
552,1961-02-13,1961,2,13,431.46
553,1961-02-14,1961,2,14,431.53
554,1961-02-15,1961,2,15,431.6
555,1961-02-16,1961,2,16,431.67
556,1961-02-17,1961,2,17,431.74
557,1961-02-20,1961,2,20,431.81
558,1961-02-21,1961,2,21,431.88
559,1961-02-22,1961,2,22,431.95
560,1961-02-23,1961,2,23,432.02
561,1961-02-24,1961,2,24,432.09000000000003
562,1961-02-27,1961,2,27,432.16
563,1961-02-28,1961,2,28,432.23
564,1961-03-01,1961,3,1,432.3
565,1961-03-02,1961,3,2,432.33478260869566
566,1961-03-03,1961,3,3,432.3695652173913
567,1961-03-06,1961,3,6,432.40434782608696
568,1961-03-07,1961,3,7,432.4391304347826
569,1961-03-08,1961,3,8,432.47391304347826
570,1961-03-09,1961,3,9,432.5086956521739
571,1961-03-10,1961,3,10,432.54347826086956
572,1961-03-13,1961,3,13,432.5782608695652
573,1961-03-14,1961,3,14,432.61304347826086
574,1961-03-15,1961,3,15,432.6478260869565
575,1961-03-16,1961,3,16,432.68260869565216
576,1961-03-17,1961,3,17,432.71739130434787
577,1961-03-20,1961,3,20,432.7521739130435
578,1961-03-21,1961,3,21,432.78695652173917
579,1961-03-22,1961,3,22,432.8217391304348
580,1961-03-23,1961,3,23,432.85652173913047
581,1961-03-24,1961,3,24,432.8913043478261
582,1961-03-27,1961,3,27,432.9260869565218
583,1961-03-28,1961,3,28,432.9608695652174
584,1961-03-29,1961,3,29,432.9956521739131
585,1961-03-30,1961,3,30,433.0304347826087
586,1961-03-31,1961,3,31,433.0652173913044
587,1961-04-03,1961,4,3,433.1
588,1961-04-04,1961,4,4,433.27500000000003
589,1961-04-05,1961,4,5,433.45000000000005
590,1961-04-06,1961,4,6,433.625
591,1961-04-07,1961,4,7,433.8
592,1961-04-10,1961,4,10,433.975
593,1961-04-11,1961,4,11,434.15000000000003
594,1961-04-12,1961,4,12,434.32500000000005
595,1961-04-13,1961,4,13,434.5
