Reporter_code,Reporter_description,Partner_code,Partner_description,Indicator_code,Indicator_description,Flow_Code,Flow_Description,Year,Unit,Value,Flag,Source_Description,Note
US,United States of America,WL,World,TO      ,Total merchandise,X ,Exports,2006,Volume index - Previous year = 100,109.903,   ,WTO, 
US,United States of America,WL,World,TO      ,Total merchandise,M ,Imports,2006,Volume index - Previous year = 100,105.527,   ,WTO, 
US,United States of America,WL,World,TO      ,Total merchandise,X ,Exports,2006,Unit value index - Prev. year = 100,103.6,   ,WTO, 
US,United States of America,WL,World,TO      ,Total merchandise,M ,Imports,2006,Unit value index - Prev. year = 100,104.9,   ,WTO, 
US,United States of America,WL,World,TO      ,Total merchandise,M ,Imports,2007,Unit value index - Prev. year = 100,104.2,   ,WTO, 
US,United States of America,WL,World,TO      ,Total merchandise,X ,Exports,2007,Unit value index - Prev. year = 100,104.9,   ,WTO, 
US,United States of America,WL,World,TO      ,Total merchandise,M ,Imports,2007,Volume index - Previous year = 100,101.089,   ,WTO, 
US,United States of America,WL,World,TO      ,Total merchandise,X ,Exports,2007,Volume index - Previous year = 100,106.686,   ,WTO, 
US,United States of America,WL,World,TO      ,Total merchandise,M ,Imports,2007,Value index - Previous year = 100,105.335,   ,WTO, 
US,United States of America,WL,World,TO      ,Total merchandise,X ,Exports,2007,Value index - Previous year = 100,111.914,   ,WTO, 
US,United States of America,WL,World,TO      ,Total merchandise,X ,Exports,2008,Value index - Previous year = 100,112.127,   ,WTO, 
US,United States of America,WL,World,TO      ,Total merchandise,M ,Imports,2008,Value index - Previous year = 100,107.379,   ,WTO, 
US,United States of America,WL,World,TO      ,Total merchandise,X ,Exports,2008,Volume index - Previous year = 100,105.78,   ,WTO, 
US,United States of America,WL,World,TO      ,Total merchandise,M ,Imports,2008,Volume index - Previous year = 100,96.304,   ,WTO, 
US,United States of America,WL,World,TO      ,Total merchandise,X ,Exports,2008,Unit value index - Prev. year = 100,106,   ,WTO, 
US,United States of America,WL,World,TO      ,Total merchandise,M ,Imports,2008,Unit value index - Prev. year = 100,111.5,   ,WTO, 
US,United States of America,WL,World,TO      ,Total merchandise,M ,Imports,2009,Unit value index - Prev. year = 100,88.5,   ,WTO, 
US,United States of America,WL,World,TO      ,Total merchandise,X ,Exports,2009,Unit value index - Prev. year = 100,95.4,   ,WTO, 
US,United States of America,WL,World,TO      ,Total merchandise,M ,Imports,2009,Volume index - Previous year = 100,83.609,   ,WTO, 
US,United States of America,WL,World,TO      ,Total merchandise,X ,Exports,2009,Volume index - Previous year = 100,85.981,   ,WTO, 
US,United States of America,WL,World,TO      ,Total merchandise,M ,Imports,2009,Value index - Previous year = 100,73.994,   ,WTO, 
US,United States of America,WL,World,TO      ,Total merchandise,X ,Exports,2009,Value index - Previous year = 100,82.026,   ,WTO, 
